# Glossaire multilingue Kitview - Référentiel central de traductions. Types : c=courant, t=tag, a=adjectif 28/12/25 8:20;;;;;;;;;;;;
type;fr;en;de;es;it;ja;pt;pl;ro;th;ar;cn
c;aussi;also;;;;また;;;;;;
c;aux;at;;;;で;;;;;;
c;avec;with;;;;と;;;;;;
c;comme;as;;;;として;;;;;;
c;dans;in;;;;で;;;;;;
c;de;of;;;;より;;;;;;
c;des;some;;;;より;;;;;;
c;et;and;;;;そして;;;;;;
c;la;the;;;;その;;;;;;
c;le;the;;;;その;;;;;;
c;les;the;;;;その;;;;;;
c;moins;less;;;;少ない;;;;;;
c;ne;not;;;;する;;;;;;
c;ont;have;;;;持つ;;;;;;
c;ou;or;;;;または;;;;;;
c;pas;not;;;;ない;;;;;;
c;plus;more;;;;もっと見る;;;;;;
c;pour;for;;;;にとって;;;;;;
c;que;that;;;;その;;;;;;
c;qui;who;;;;どの;;;;;;
c;sans;without;;;;なし;;;;;;
c;sont;are;;;;は;;;;;;
c;sur;on;;;;オン;;;;;;
c;tous;all;;;;すべて;;;;;;
c;toutes;all;;;;すべて;;;;;;
c;très;very;;;;とても;;;;;;
c;un;a;;;;a;;;;;;
c;une;a;;;;a;;;;;;
c;à;to;;;;à;;;;;;
c;adulte;adult;;;;大人;;;;;;
c;affiche;display;;;;ポスター;;;;;;
c;ans;years;;;;年;;;;;;
c;après;after;;;;その後;;;;;;
c;avant;before;;;;以前;;;;;;
c;cherche;search;;;;求める;;;;;;
c;combien;how many;;;;いくら;;;;;;
c;donne;give;;;;与える;;;;;;
c;enfant;child;;;;子供;;;;;;
c;entre;between;;;;間;;;;;;
c;femme;woman;;;;女性;;;;;;
c;fille;girl;;;;娘;;;;;;
c;garçon;boy;;;;少年;;;;;;
c;homme;man;;;;男性;;;;;;
c;jeune;young;;;;若い;;;;;;
c;liste;list;;;;リスト;;;;;;
c;mois;months;;;;月;;;;;;
c;montre;show;;;;時計;;;;;;
c;patient;patient;;;;辛抱強い;;;;;;
c;patients;patients;;;;患者;;;;;;
c;trouve;find;;;;見つける;;;;;;
c;vieux;old;;;;オールド;;;;;;
c;âge;age;;;;年齢;;;;;;
c;âgé;aged;;;;年配;;;;;;
o;++;++;;;;++;;;;;;
o;3d;3d;;;;3d;;;;;;
o;4 helix;4 helix;;;;4ヘリックス;;;;;;
o;absence de dent;absence of teeth;;;;無歯;;;;;;
o;absence de dents;lack of teeth;;;;歯がない;;;;;;
o;absences des dents;missing teeth;;;;歯抜け;;;;;;
o;acier;steel;;;;スチール;;;;;;
o;aciers;steels;;;;鋼;;;;;;
o;acière;acière;;;;アシエール;;;;;;
o;acières;acières;;;;アシエール;;;;;;
o;acte de déglutition;swallowing act;;;;嚥下行為;;;;;;
o;actes des déglutitions;swallowing acts;;;;嚥下行為;;;;;;
o;activateur;activator;;;;アクティベーター;;;;;;
o;activateur de classe ii;class ii activator;;;;クラスIIアクティベーター;;;;;;
o;activateur orthodontique;orthodontic activator;;;;歯列矯正アクチベーター;;;;;;
o;activateurs orthodontiques;orthodontic activators;;;;歯列矯正用アクチベーター;;;;;;
o;agenesie;agenesie;;;;アジェネジー;;;;;;
o;agenesies;agenesies;;;;競技;;;;;;
o;agénésie;agenesis;;;;発生;;;;;;
o;alginate;alginate;;;;アルギン酸塩;;;;;;
o;alginates;alginates;;;;アルギン酸塩;;;;;;
o;alignement;alignment;;;;アライメント;;;;;;
o;alignement dentaire;dental alignment;;;;歯並び;;;;;;
o;alignement des dents;tooth alignment;;;;歯並び;;;;;;
o;alignements dentaires;dental alignments;;;;デンタル・アライメント;;;;;;
o;alignements des dents;tooth alignments;;;;歯並び;;;;;;
o;aligneur;aligner;;;;アライナー;;;;;;
o;aligneur invisible;invisible aligner;;;;インビジブル・アライナー;;;;;;
o;aligneurs;aligners;;;;アライナー;;;;;;
o;aligneurs invisibles;invisible aligners;;;;見えないアライナー;;;;;;
o;aligneuse;aligner;;;;アライナー;;;;;;
o;aligneuses;aligners;;;;アライナー;;;;;;
o;amovible;removable;;;;リムーバブル;;;;;;
o;amovibles;removable;;;;リムーバブル;;;;;;
o;analyse de wits;analysis of wits;;;;ウィッツ分析;;;;;;
o;analyse wits;wits analysis;;;;ウィッツ分析;;;;;;
o;anb;anb;;;;エーエヌビー;;;;;;
o;ancrage osseux;bone anchoring;;;;ボーン・アンカーリング;;;;;;
o;ancrage squelettique;skeletal anchoring;;;;骨格アンカー;;;;;;
o;ancrages osseux;bone anchors;;;;ボーンアンカー;;;;;;
o;ancrages squelettiques;skeletal anchors;;;;骨格アンカー;;;;;;
o;angle anb;angle anb;;;;角度 ANB;;;;;;
o;angle sna;sna angle;;;;SNA角度;;;;;;
o;angle snb;snb angle;;;;SNB角度;;;;;;
o;angle squelettique;skeletal angle;;;;骨格角;;;;;;
o;angulation radiculaire;root angulation;;;;ルート角;;;;;;
o;angulations radiculaires;root angulations;;;;根の角度;;;;;;
o;ankilose;ankilose;;;;アンキローゼ;;;;;;
o;ankiloses;ankiloses;;;;アンキローゼ;;;;;;
o;ankylose;ankylosis;;;;アンキローシス;;;;;;
o;anneau séparateur;spacer ring;;;;スペーサーリング;;;;;;
o;anneaux séparateurs;separator rings;;;;セパレーターリング;;;;;;
o;anodontie;anodontics;;;;歯列矯正学;;;;;;
o;anodonties;anodonties;;;;アノドンティーズ;;;;;;
o;anomalie alvéolaire;alveolar anomaly;;;;肺胞異常;;;;;;
o;anomalie basale;basal abnormality;;;;基底異常;;;;;;
o;anomalie congénitale;congenital anomaly;;;;先天異常;;;;;;
o;anomalie de développement;developmental anomaly;;;;発達異常;;;;;;
o;anomalies alvéolaires;alveolar anomalies;;;;歯槽膿漏;;;;;;
o;anomalies basales;basal abnormalities;;;;基底異常;;;;;;
o;anomalies congénitales;birth defects;;;;せんてんてきしょうがい;;;;;;
o;anomalies des développements;development anomalies;;;;開発異常;;;;;;
o;antérieur;previous;;;;前;;;;;;
o;antérieurs;previous;;;;前;;;;;;
o;antérieuse;previous;;;;前;;;;;;
o;antérieuses;previous;;;;前;;;;;;
o;ao-bo;ao-bo;;;;AO-BO;;;;;;
o;ao-bos;ao-bos;;;;AO-BOs;;;;;;
o;apnée du sommeil;sleep apnea;;;;睡眠時無呼吸症候群;;;;;;
o;appareil amovible;removable appliance;;;;リムーバブル・アプライアンス;;;;;;
o;appareil amovible fonctionnel;functional removable appliance;;;;機能的な取り外し可能アプライアンス;;;;;;
o;appareil amovible transparent;removable transparent device;;;;取り外し可能な透明装置;;;;;;
o;appareil d'activation;activation device;;;;起動装置;;;;;;
o;appareil d'expansion;expansion device;;;;拡張装置;;;;;;
o;appareil d'expansion palatine;palatal expansion device;;;;口蓋拡張装置;;;;;;
o;appareil de contention;restraint device;;;;拘束装置;;;;;;
o;appareil de herbst;appliance from herbst;;;;ハーベスト装置;;;;;;
o;appareil dentaire;dental appliance;;;;歯科器具;;;;;;
o;appareil fonctionnel;functional device;;;;機能デバイス;;;;;;
o;appareil mainteneur d'espace;space maintainer;;;;スペースメンテナー;;;;;;
o;appareil multi-attaches;multi-attachment device;;;;マルチアタッチメント;;;;;;
o;appareil orthodontique;orthodontic appliance;;;;歯列矯正装置;;;;;;
o;appareil pendulum;pendulum device;;;;振り子装置;;;;;;
o;appareils amovibles;removable appliances;;;;リムーバブルデバイス;;;;;;
o;appareils amovibles fonctionnels;functional removable appliances;;;;機能的な取り外し可能器具;;;;;;
o;appareils amovibles transparents;transparent removable devices;;;;透明リムーバブルデバイス;;;;;;
o;appareils d'activations;activation devices;;;;起動装置;;;;;;
o;appareils d'expansions;expansion devices;;;;拡張デバイス;;;;;;
o;appareils d'expansions palatines;palatal expansion devices;;;;口蓋拡張装置;;;;;;
o;appareils dentaires;dental braces;;;;歯列矯正;;;;;;
o;appareils des contentions;restraint equipment;;;;拘束装置;;;;;;
o;appareils des herbsts;herbsts appliances;;;;ハーブ家電;;;;;;
o;appareils fonctionnels;functional devices;;;;機能デバイス;;;;;;
o;appareils mainteneurs d'espaces;space maintainers;;;;スペースメンテナーズ;;;;;;
o;appareils multi-attaches;multi-attachment devices;;;;マルチアタッチメント;;;;;;
o;appareils orthodontiques;orthodontic appliances;;;;矯正装置;;;;;;
o;appareils pendulums;pendulum devices;;;;振り子装置;;;;;;
